"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"19:27:33.5601602","AfterFX.exe","12244","QueryOpen","C:\Users\flat\Desktop\n\asd.obj","FAST IO DISALLOWED",""
"19:27:33.5602347","AfterFX.exe","12244","CreateFile","C:\Users\flat\Desktop\n\asd.obj","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"19:27:33.5602650","AfterFX.exe","12244","QueryNetworkOpenInformationFile","C:\Users\flat\Desktop\n\asd.obj","SUCCESS","CreationTime: 29/12/13 02:07:01, LastAccessTime: 29/12/13 02:07:01, LastWriteTime: 29/12/13 02:18:06, ChangeTime: 29/12/13 02:18:06, AllocationSize: 1/1/01 01:00:00, EndOfFile: 1/1/01 01:00:00, FileAttributes: A"
"19:27:33.5602833","AfterFX.exe","12244","CloseFile","C:\Users\flat\Desktop\n\asd.obj","SUCCESS",""
"19:27:33.5603749","AfterFX.exe","12244","QueryOpen","C:\Users\flat\Desktop\n\testdoc.jpg","FAST IO DISALLOWED",""
"19:27:33.5604313","AfterFX.exe","12244","CreateFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"19:27:33.5604571","AfterFX.exe","12244","QueryNetworkOpenInformationFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","CreationTime: 29/12/13 02:16:26, LastAccessTime: 29/12/13 02:16:28, LastWriteTime: 29/12/13 02:16:28, ChangeTime: 29/12/13 02:24:53, AllocationSize: 1/1/01 01:00:00, EndOfFile: 1/1/01 01:00:00, FileAttributes: A"
"19:27:33.5604736","AfterFX.exe","12244","CloseFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS",""
"19:27:33.5605574","AfterFX.exe","12244","QueryOpen","C:\Users\flat\Desktop\n\testdoc.jpg","FAST IO DISALLOWED",""
"19:27:33.5606099","AfterFX.exe","12244","CreateFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"19:27:33.5606328","AfterFX.exe","12244","QueryNetworkOpenInformationFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","CreationTime: 29/12/13 02:16:26, LastAccessTime: 29/12/13 02:16:28, LastWriteTime: 29/12/13 02:16:28, ChangeTime: 29/12/13 02:24:53, AllocationSize: 1/1/01 01:00:00, EndOfFile: 1/1/01 01:00:00, FileAttributes: A"
"19:27:33.5606478","AfterFX.exe","12244","CloseFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS",""
"19:27:33.5607276","AfterFX.exe","12244","QueryOpen","C:\Users\flat\Desktop\n\testdoc.jpg","FAST IO DISALLOWED",""
"19:27:33.5607804","AfterFX.exe","12244","CreateFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"19:27:33.5608027","AfterFX.exe","12244","QueryNetworkOpenInformationFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","CreationTime: 29/12/13 02:16:26, LastAccessTime: 29/12/13 02:16:28, LastWriteTime: 29/12/13 02:16:28, ChangeTime: 29/12/13 02:24:53, AllocationSize: 1/1/01 01:00:00, EndOfFile: 1/1/01 01:00:00, FileAttributes: A"
"19:27:33.5608180","AfterFX.exe","12244","CloseFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS",""
"19:27:33.5661113","AfterFX.exe","12244","QueryOpen","C:\Users\flat\Desktop\n\asd.obj","FAST IO DISALLOWED",""
"19:27:33.5661764","AfterFX.exe","12244","CreateFile","C:\Users\flat\Desktop\n\asd.obj","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"19:27:33.5662164","AfterFX.exe","12244","QueryNetworkOpenInformationFile","C:\Users\flat\Desktop\n\asd.obj","SUCCESS","CreationTime: 29/12/13 02:07:01, LastAccessTime: 29/12/13 02:07:01, LastWriteTime: 29/12/13 02:18:06, ChangeTime: 29/12/13 02:18:06, AllocationSize: 1/1/01 01:00:00, EndOfFile: 1/1/01 01:00:00, FileAttributes: A"
"19:27:33.5662365","AfterFX.exe","12244","CloseFile","C:\Users\flat\Desktop\n\asd.obj","SUCCESS",""
"19:27:33.5663286","AfterFX.exe","12244","QueryOpen","C:\Users\flat\Desktop\n\testdoc.jpg","FAST IO DISALLOWED",""
"19:27:33.5663848","AfterFX.exe","12244","CreateFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"19:27:33.5664109","AfterFX.exe","12244","QueryNetworkOpenInformationFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","CreationTime: 29/12/13 02:16:26, LastAccessTime: 29/12/13 02:16:28, LastWriteTime: 29/12/13 02:16:28, ChangeTime: 29/12/13 02:24:53, AllocationSize: 1/1/01 01:00:00, EndOfFile: 1/1/01 01:00:00, FileAttributes: A"
"19:27:33.5664274","AfterFX.exe","12244","CloseFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS",""
"19:27:33.5665118","AfterFX.exe","12244","QueryOpen","C:\Users\flat\Desktop\n\testdoc.jpg","FAST IO DISALLOWED",""
"19:27:33.5665637","AfterFX.exe","12244","CreateFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"19:27:33.5665865","AfterFX.exe","12244","QueryNetworkOpenInformationFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","CreationTime: 29/12/13 02:16:26, LastAccessTime: 29/12/13 02:16:28, LastWriteTime: 29/12/13 02:16:28, ChangeTime: 29/12/13 02:24:53, AllocationSize: 1/1/01 01:00:00, EndOfFile: 1/1/01 01:00:00, FileAttributes: A"
"19:27:33.5666015","AfterFX.exe","12244","CloseFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS",""
"19:27:33.5737882","AfterFX.exe","12244","QueryOpen","C:\Users\flat\Desktop\n\asd.obj","FAST IO DISALLOWED",""
"19:27:33.5738488","AfterFX.exe","12244","CreateFile","C:\Users\flat\Desktop\n\asd.obj","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"19:27:33.5738773","AfterFX.exe","12244","QueryNetworkOpenInformationFile","C:\Users\flat\Desktop\n\asd.obj","SUCCESS","CreationTime: 29/12/13 02:07:01, LastAccessTime: 29/12/13 02:07:01, LastWriteTime: 29/12/13 02:18:06, ChangeTime: 29/12/13 02:18:06, AllocationSize: 1/1/01 01:00:00, EndOfFile: 1/1/01 01:00:00, FileAttributes: A"
"19:27:33.5738944","AfterFX.exe","12244","CloseFile","C:\Users\flat\Desktop\n\asd.obj","SUCCESS",""
"19:27:33.5740181","AfterFX.exe","12244","QueryOpen","C:\Users\flat\Desktop\n\asd.obj","FAST IO DISALLOWED",""
"19:27:33.5740842","AfterFX.exe","12244","CreateFile","C:\Users\flat\Desktop\n\asd.obj","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"19:27:33.5741088","AfterFX.exe","12244","QueryNetworkOpenInformationFile","C:\Users\flat\Desktop\n\asd.obj","SUCCESS","CreationTime: 29/12/13 02:07:01, LastAccessTime: 29/12/13 02:07:01, LastWriteTime: 29/12/13 02:18:06, ChangeTime: 29/12/13 02:18:06, AllocationSize: 1/1/01 01:00:00, EndOfFile: 1/1/01 01:00:00, FileAttributes: A"
"19:27:33.5741247","AfterFX.exe","12244","CloseFile","C:\Users\flat\Desktop\n\asd.obj","SUCCESS",""
"19:27:33.5743642","AfterFX.exe","12244","QueryOpen","C:\Users\flat\Desktop\n\asd.obj","FAST IO DISALLOWED",""
"19:27:33.5744165","AfterFX.exe","12244","CreateFile","C:\Users\flat\Desktop\n\asd.obj","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"19:27:33.5744393","AfterFX.exe","12244","QueryNetworkOpenInformationFile","C:\Users\flat\Desktop\n\asd.obj","SUCCESS","CreationTime: 29/12/13 02:07:01, LastAccessTime: 29/12/13 02:07:01, LastWriteTime: 29/12/13 02:18:06, ChangeTime: 29/12/13 02:18:06, AllocationSize: 1/1/01 01:00:00, EndOfFile: 1/1/01 01:00:00, FileAttributes: A"
"19:27:33.5744546","AfterFX.exe","12244","CloseFile","C:\Users\flat\Desktop\n\asd.obj","SUCCESS",""
"19:27:33.5751772","AfterFX.exe","12244","CreateFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"19:27:33.5752312","AfterFX.exe","12244","QueryStandardInformationFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","AllocationSize: 16,384, EndOfFile: 15,987, NumberOfLinks: 1, DeletePending: False, Directory: False"
"19:27:33.5752504","AfterFX.exe","12244","CreateFileMapping","C:\Users\flat\Desktop\n\testdoc.jpg","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"19:27:33.5752672","AfterFX.exe","12244","QueryStandardInformationFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","AllocationSize: 16,384, EndOfFile: 15,987, NumberOfLinks: 1, DeletePending: False, Directory: False"
"19:27:33.5752990","AfterFX.exe","12244","CreateFileMapping","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","SyncType: SyncTypeOther"
"19:27:33.5753408","AfterFX.exe","12244","CloseFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS",""
"19:27:33.5754281","AfterFX.exe","12244","CreateFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"19:27:33.5754611","AfterFX.exe","12244","CreateFileMapping","C:\Users\flat\Desktop\n\testdoc.jpg","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"19:27:33.5754768","AfterFX.exe","12244","QueryStandardInformationFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","AllocationSize: 16,384, EndOfFile: 15,987, NumberOfLinks: 1, DeletePending: False, Directory: False"
"19:27:33.5755074","AfterFX.exe","12244","CreateFileMapping","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","SyncType: SyncTypeOther"
"19:27:33.5755467","AfterFX.exe","12244","CloseFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS",""
"19:27:33.5756296","AfterFX.exe","12244","CreateFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"19:27:33.5756833","AfterFX.exe","12244","QueryInformationVolume","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","VolumeCreationTime: 19/4/13 03:56:56, VolumeSerialNumber: DC8E-2756, SupportsObjects: True, VolumeLabel: "
"19:27:33.5757013","AfterFX.exe","12244","QueryAllInformationFile","C:\Users\flat\Desktop\n\testdoc.jpg","BUFFER OVERFLOW","CreationTime: 29/12/13 02:16:26, LastAccessTime: 29/12/13 02:16:28, LastWriteTime: 29/12/13 02:16:28, ChangeTime: 29/12/13 02:24:53, FileAttributes: A, AllocationSize: 16,384, EndOfFile: 15,987, NumberOfLinks: 1, DeletePending: False, Directory: False, IndexNumber: 0x2f7000000014c24, EaSize: 0, Access: Generic Read, Position: 0, Mode: Synchronous IO Non-Alert, AlignmentRequirement: Word"
"19:27:33.5757301","AfterFX.exe","12244","ReadFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","Offset: 0, Length: 22, Priority: Normal"
"19:27:33.5757634","AfterFX.exe","12244","ReadFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","Offset: 0, Length: 18"
"19:27:33.5757827","AfterFX.exe","12244","CloseFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS",""
"19:27:33.5758505","AfterFX.exe","12244","CreateFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"19:27:33.5758829","AfterFX.exe","12244","QueryStandardInformationFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","AllocationSize: 16,384, EndOfFile: 15,987, NumberOfLinks: 1, DeletePending: False, Directory: False"
"19:27:33.5759021","AfterFX.exe","12244","CreateFileMapping","C:\Users\flat\Desktop\n\testdoc.jpg","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"19:27:33.5759180","AfterFX.exe","12244","QueryStandardInformationFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","AllocationSize: 16,384, EndOfFile: 15,987, NumberOfLinks: 1, DeletePending: False, Directory: False"
"19:27:33.5759502","AfterFX.exe","12244","CreateFileMapping","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","SyncType: SyncTypeOther"
"19:27:33.5760132","AfterFX.exe","12244","QueryBasicInformationFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","CreationTime: 29/12/13 02:16:26, LastAccessTime: 29/12/13 02:16:28, LastWriteTime: 29/12/13 02:16:28, ChangeTime: 29/12/13 02:24:53, FileAttributes: A"
"19:27:33.6146572","AfterFX.exe","12244","CloseFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS",""
"19:27:33.6148469","AfterFX.exe","12244","QueryOpen","C:\Users\flat\Desktop\n\testdoc.jpg","FAST IO DISALLOWED",""
"19:27:33.6149025","AfterFX.exe","12244","CreateFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"19:27:33.6149295","AfterFX.exe","12244","QueryNetworkOpenInformationFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","CreationTime: 29/12/13 02:16:26, LastAccessTime: 29/12/13 02:16:28, LastWriteTime: 29/12/13 02:16:28, ChangeTime: 29/12/13 02:24:53, AllocationSize: 1/1/01 01:00:00, EndOfFile: 1/1/01 01:00:00, FileAttributes: A"
"19:27:33.6149466","AfterFX.exe","12244","CloseFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS",""
"19:27:33.6153134","AfterFX.exe","12244","QueryOpen","C:\Users\flat\Desktop\n\testdoc.jpg","FAST IO DISALLOWED",""
"19:27:33.6153672","AfterFX.exe","12244","CreateFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"19:27:33.6153912","AfterFX.exe","12244","QueryNetworkOpenInformationFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS","CreationTime: 29/12/13 02:16:26, LastAccessTime: 29/12/13 02:16:28, LastWriteTime: 29/12/13 02:16:28, ChangeTime: 29/12/13 02:24:53, AllocationSize: 1/1/01 01:00:00, EndOfFile: 1/1/01 01:00:00, FileAttributes: A"
"19:27:33.6154071","AfterFX.exe","12244","CloseFile","C:\Users\flat\Desktop\n\testdoc.jpg","SUCCESS",""
